Date,Host,Service,Content
"2026-03-31T19:02:26.679Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:02:26.674Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:02:26.651Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:02:26.650Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:02:26.647Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:01:56.444Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:01:56.444Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:01:56.438Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:01:56.422Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:01:56.419Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:01:56.418Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:01:26.211Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:01:26.211Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:01:26.206Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:01:26.191Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:01:26.190Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:01:26.187Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:00:55.976Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:00:55.976Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:00:55.972Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:00:55.952Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:00:55.951Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:00:55.948Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T19:00:25.740Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T19:00:25.740Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T19:00:25.736Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T19:00:25.719Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:00:25.718Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T19:00:25.714Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:59:55.524Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T18:59:55.524Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T18:59:55.519Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T18:59:55.501Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:59:55.500Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:59:55.498Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:59:25.297Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T18:59:25.297Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T18:59:25.292Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T18:59:25.279Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:59:25.277Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:59:25.275Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:58:55.074Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T18:58:55.074Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T18:58:55.066Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T18:58:55.034Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:58:55.034Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:58:55.031Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:58:24.681Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T18:58:24.681Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T18:58:24.675Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T18:58:24.647Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:58:24.646Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:58:24.644Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:57:54.435Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T18:57:54.435Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T18:57:54.430Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T18:57:54.416Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:57:54.415Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:57:54.412Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:57:24.223Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T18:57:24.223Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T18:57:24.218Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T18:57:24.203Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:57:24.203Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:57:24.201Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:56:53.995Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
